,mean reward,xl,method
423,1275710,90.0,Supervisory+RL
424,952730,90.0,Supervisory+RL
425,652220,90.0,Supervisory+RL
426,431110,90.0,Supervisory+RL
427,1330130,90.0,Supervisory+RL
428,938880,90.0,Supervisory+RL
429,713180,90.0,Supervisory+RL
430,1081500,90.0,Supervisory+RL
431,1214630,90.0,Supervisory+RL
432,338870,90.0,Supervisory+RL
433,249160,90.0,Supervisory+RL
434,1041500,90.0,Supervisory+RL
435,510310,90.0,Supervisory+RL
436,827080,90.0,Supervisory+RL
437,851420,90.0,Supervisory+RL
438,687190,90.0,Supervisory+RL
439,1315790,90.0,Supervisory+RL
440,378610,90.0,Supervisory+RL
441,339520,90.0,Supervisory+RL
442,1180800,90.0,Supervisory+RL
443,526300,90.0,Supervisory+RL
444,219800,90.0,Supervisory+RL
445,920630,90.0,Supervisory+RL
446,503420,90.0,Supervisory+RL
447,723760,90.0,Supervisory+RL
448,355400,90.0,Supervisory+RL
449,799380,90.0,Supervisory+RL
450,3596470,10.0,Supervisory
451,1210310,10.0,Supervisory
452,1316350,10.0,Supervisory
453,3246290,10.0,Supervisory
454,3078450,10.0,Supervisory
455,3039100,10.0,Supervisory
456,3068050,10.0,Supervisory
457,1806650,10.0,Supervisory
458,2824260,10.0,Supervisory
459,1070230,10.0,Supervisory
460,3753410,10.0,Supervisory
461,1398780,10.0,Supervisory
462,3264080,10.0,Supervisory
463,3832860,10.0,Supervisory
464,2422740,10.0,Supervisory
465,1717590,10.0,Supervisory
466,4579020,10.0,Supervisory
467,384590,10.0,Supervisory
468,832560,10.0,Supervisory
469,2621920,10.0,Supervisory
470,2941400,10.0,Supervisory
471,2252540,10.0,Supervisory
472,1915840,10.0,Supervisory
473,1655010,10.0,Supervisory
474,3648960,10.0,Supervisory
475,2293820,10.0,Supervisory
476,901600,10.0,Supervisory
477,3565660,10.0,Supervisory
478,1804570,10.0,Supervisory
479,2896770,10.0,Supervisory
480,1708870,10.0,Supervisory
481,3826620,10.0,Supervisory
482,2400030,10.0,Supervisory
483,2189740,10.0,Supervisory
484,3834880,10.0,Supervisory
485,2581820,10.0,Supervisory
486,1756950,10.0,Supervisory
487,2929650,10.0,Supervisory
488,2011390,10.0,Supervisory
489,2404490,10.0,Supervisory
490,3816440,10.0,Supervisory
491,3285620,10.0,Supervisory
492,2044210,10.0,Supervisory
493,1963540,10.0,Supervisory
494,2928670,10.0,Supervisory
495,2271810,10.0,Supervisory
496,1155290,10.0,Supervisory
497,1032020,10.0,Supervisory
498,2135730,10.0,Supervisory
499,1915820,10.0,Supervisory
500,2232900,20.0,Supervisory
501,1872330,20.0,Supervisory
502,1704560,20.0,Supervisory
503,2566200,20.0,Supervisory
504,1037680,20.0,Supervisory
505,1377650,20.0,Supervisory
506,679600,20.0,Supervisory
507,1128090,20.0,Supervisory
508,1715240,20.0,Supervisory
509,1575500,20.0,Supervisory
510,998260,20.0,Supervisory
511,1312910,20.0,Supervisory
512,1131950,20.0,Supervisory
513,659830,20.0,Supervisory
514,1129720,20.0,Supervisory
515,2332680,20.0,Supervisory
516,1078150,20.0,Supervisory
517,2310740,20.0,Supervisory
518,2621960,20.0,Supervisory
519,2250990,20.0,Supervisory
520,1398580,20.0,Supervisory
521,957420,20.0,Supervisory
522,2173950,20.0,Supervisory
523,1497830,20.0,Supervisory
524,1907380,20.0,Supervisory
525,1737510,20.0,Supervisory
526,652980,20.0,Supervisory
527,2180010,20.0,Supervisory
528,1844750,20.0,Supervisory
529,1488160,20.0,Supervisory
530,2667480,20.0,Supervisory
531,1897300,20.0,Supervisory
532,1693200,20.0,Supervisory
533,1544660,20.0,Supervisory
534,1982320,20.0,Supervisory
535,2363440,20.0,Supervisory
536,2747570,20.0,Supervisory
537,1637070,20.0,Supervisory
538,790890,20.0,Supervisory
539,1247930,20.0,Supervisory
540,1275780,20.0,Supervisory
541,2012850,20.0,Supervisory
542,960100,20.0,Supervisory
543,2222830,20.0,Supervisory
544,3111010,20.0,Supervisory
545,1672760,20.0,Supervisory
546,1325600,20.0,Supervisory
547,2948980,20.0,Supervisory
548,1553760,20.0,Supervisory
549,2014940,20.0,Supervisory
550,1078730,30.0,Supervisory
551,583120,30.0,Supervisory
552,1794000,30.0,Supervisory
553,770230,30.0,Supervisory
554,920270,30.0,Supervisory
555,936550,30.0,Supervisory
556,1870980,30.0,Supervisory
557,1278020,30.0,Supervisory
558,1514980,30.0,Supervisory
559,2018080,30.0,Supervisory
560,1356340,30.0,Supervisory
561,1769990,30.0,Supervisory
562,742250,30.0,Supervisory
563,642550,30.0,Supervisory
564,819850,30.0,Supervisory
565,1214450,30.0,Supervisory
566,1047370,30.0,Supervisory
567,920460,30.0,Supervisory
568,888840,30.0,Supervisory
569,1724500,30.0,Supervisory
570,1245700,30.0,Supervisory
571,1464250,30.0,Supervisory
572,977740,30.0,Supervisory
573,527930,30.0,Supervisory
574,1636880,30.0,Supervisory
575,1228880,30.0,Supervisory
576,1686880,30.0,Supervisory
577,854790,30.0,Supervisory
578,1554670,30.0,Supervisory
579,1202870,30.0,Supervisory
580,1139120,30.0,Supervisory
581,1095980,30.0,Supervisory
582,1373540,30.0,Supervisory
583,1266700,30.0,Supervisory
584,1834660,30.0,Supervisory
585,1219130,30.0,Supervisory
586,1713290,30.0,Supervisory
587,1110220,30.0,Supervisory
588,1009840,30.0,Supervisory
589,1904150,30.0,Supervisory
590,15370,30.0,Supervisory
591,1986330,30.0,Supervisory
592,1824730,30.0,Supervisory
593,1087100,30.0,Supervisory
594,1518580,30.0,Supervisory
595,593280,30.0,Supervisory
596,1640990,30.0,Supervisory
597,1227760,30.0,Supervisory
598,503490,30.0,Supervisory
599,1258590,30.0,Supervisory
600,1366780,40.0,Supervisory
601,1158590,40.0,Supervisory
602,831360,40.0,Supervisory
603,951560,40.0,Supervisory
604,1127870,40.0,Supervisory
605,829190,40.0,Supervisory
606,552490,40.0,Supervisory
607,581230,40.0,Supervisory
608,436840,40.0,Supervisory
609,1006380,40.0,Supervisory
610,1841290,40.0,Supervisory
611,1109580,40.0,Supervisory
612,580790,40.0,Supervisory
613,1088860,40.0,Supervisory
614,1347010,40.0,Supervisory
615,664220,40.0,Supervisory
616,848510,40.0,Supervisory
617,1117990,40.0,Supervisory
618,1226800,40.0,Supervisory
619,1352650,40.0,Supervisory
620,967970,40.0,Supervisory
621,758780,40.0,Supervisory
622,1165730,40.0,Supervisory
623,749780,40.0,Supervisory
624,771650,40.0,Supervisory
625,679190,40.0,Supervisory
626,1635590,40.0,Supervisory
627,1542930,40.0,Supervisory
628,999640,40.0,Supervisory
629,888620,40.0,Supervisory
630,2033220,40.0,Supervisory
631,1253900,40.0,Supervisory
632,1137330,40.0,Supervisory
633,956830,40.0,Supervisory
634,829960,40.0,Supervisory
635,1475010,40.0,Supervisory
636,639520,40.0,Supervisory
637,1287600,40.0,Supervisory
638,807330,40.0,Supervisory
639,1203580,40.0,Supervisory
640,324310,40.0,Supervisory
641,1552550,40.0,Supervisory
642,452190,40.0,Supervisory
643,793690,40.0,Supervisory
644,985960,40.0,Supervisory
645,896670,40.0,Supervisory
646,882850,40.0,Supervisory
647,1358610,40.0,Supervisory
648,504030,40.0,Supervisory
649,109660,40.0,Supervisory
650,690900,50.0,Supervisory
651,771810,50.0,Supervisory
652,642340,50.0,Supervisory
653,835530,50.0,Supervisory
654,1037260,50.0,Supervisory
655,1227730,50.0,Supervisory
656,1050030,50.0,Supervisory
657,826160,50.0,Supervisory
658,872200,50.0,Supervisory
659,302030,50.0,Supervisory
660,928820,50.0,Supervisory
661,544570,50.0,Supervisory
662,658840,50.0,Supervisory
663,498850,50.0,Supervisory
664,791770,50.0,Supervisory
665,481220,50.0,Supervisory
666,651800,50.0,Supervisory
667,492730,50.0,Supervisory
668,419910,50.0,Supervisory
669,413090,50.0,Supervisory
670,1070260,50.0,Supervisory
671,748060,50.0,Supervisory
672,354810,50.0,Supervisory
673,866450,50.0,Supervisory
674,784660,50.0,Supervisory
675,303540,50.0,Supervisory
676,418110,50.0,Supervisory
677,608300,50.0,Supervisory
678,1232970,50.0,Supervisory
679,1160600,50.0,Supervisory
680,944410,50.0,Supervisory
681,425440,50.0,Supervisory
682,623470,50.0,Supervisory
683,338090,50.0,Supervisory
684,490200,50.0,Supervisory
685,519100,50.0,Supervisory
686,966270,50.0,Supervisory
687,860370,50.0,Supervisory
688,539520,50.0,Supervisory
689,284760,50.0,Supervisory
690,631010,50.0,Supervisory
691,273570,50.0,Supervisory
692,985770,50.0,Supervisory
693,174020,50.0,Supervisory
694,-64320,50.0,Supervisory
695,507570,50.0,Supervisory
696,1135110,50.0,Supervisory
697,591960,50.0,Supervisory
698,832030,50.0,Supervisory
699,769140,50.0,Supervisory
700,671140,60.0,Supervisory
701,684580,60.0,Supervisory
702,545540,60.0,Supervisory
703,867210,60.0,Supervisory
704,363870,60.0,Supervisory
705,161350,60.0,Supervisory
706,426620,60.0,Supervisory
707,422630,60.0,Supervisory
708,719520,60.0,Supervisory
709,161080,60.0,Supervisory
710,490220,60.0,Supervisory
711,447080,60.0,Supervisory
712,482970,60.0,Supervisory
713,601440,60.0,Supervisory
714,719560,60.0,Supervisory
715,441470,60.0,Supervisory
716,479900,60.0,Supervisory
717,598580,60.0,Supervisory
718,402380,60.0,Supervisory
719,812750,60.0,Supervisory
720,521040,60.0,Supervisory
721,363460,60.0,Supervisory
722,527240,60.0,Supervisory
723,826540,60.0,Supervisory
724,806540,60.0,Supervisory
725,304680,60.0,Supervisory
726,688970,60.0,Supervisory
727,689460,60.0,Supervisory
728,391120,60.0,Supervisory
729,349170,60.0,Supervisory
730,800680,60.0,Supervisory
731,478550,60.0,Supervisory
732,492670,60.0,Supervisory
733,370620,60.0,Supervisory
734,751830,60.0,Supervisory
735,161080,60.0,Supervisory
736,953890,60.0,Supervisory
737,703090,60.0,Supervisory
738,488390,60.0,Supervisory
739,381250,60.0,Supervisory
740,299020,60.0,Supervisory
741,339140,60.0,Supervisory
742,381980,60.0,Supervisory
743,454370,60.0,Supervisory
744,468760,60.0,Supervisory
745,560210,60.0,Supervisory
746,283820,60.0,Supervisory
747,250270,60.0,Supervisory
748,670570,60.0,Supervisory
749,947020,60.0,Supervisory
750,331170,70.0,Supervisory
751,257640,70.0,Supervisory
752,-37850,70.0,Supervisory
753,423920,70.0,Supervisory
754,462970,70.0,Supervisory
755,-24670,70.0,Supervisory
756,320310,70.0,Supervisory
757,479370,70.0,Supervisory
758,242980,70.0,Supervisory
759,750000,70.0,Supervisory
760,74630,70.0,Supervisory
761,222510,70.0,Supervisory
762,404260,70.0,Supervisory
763,230180,70.0,Supervisory
764,382690,70.0,Supervisory
765,313670,70.0,Supervisory
766,726360,70.0,Supervisory
767,329110,70.0,Supervisory
768,189060,70.0,Supervisory
769,502710,70.0,Supervisory
770,441920,70.0,Supervisory
771,215340,70.0,Supervisory
772,280760,70.0,Supervisory
773,478670,70.0,Supervisory
774,231960,70.0,Supervisory
775,413730,70.0,Supervisory
776,200620,70.0,Supervisory
777,565380,70.0,Supervisory
778,347300,70.0,Supervisory
779,75160,70.0,Supervisory
780,519370,70.0,Supervisory
781,70930,70.0,Supervisory
782,192800,70.0,Supervisory
783,477410,70.0,Supervisory
784,181270,70.0,Supervisory
785,344300,70.0,Supervisory
786,589580,70.0,Supervisory
787,232900,70.0,Supervisory
788,597710,70.0,Supervisory
789,460160,70.0,Supervisory
790,180000,70.0,Supervisory
791,533470,70.0,Supervisory
792,231430,70.0,Supervisory
793,242170,70.0,Supervisory
794,429460,70.0,Supervisory
795,312170,70.0,Supervisory
796,298440,70.0,Supervisory
797,324380,70.0,Supervisory
798,232280,70.0,Supervisory
799,600370,70.0,Supervisory
800,393100,80.0,Supervisory
801,44900,80.0,Supervisory
802,291920,80.0,Supervisory
803,160430,80.0,Supervisory
804,263080,80.0,Supervisory
805,459370,80.0,Supervisory
806,308320,80.0,Supervisory
807,242050,80.0,Supervisory
808,212780,80.0,Supervisory
809,278220,80.0,Supervisory
810,289410,80.0,Supervisory
811,168240,80.0,Supervisory
812,333450,80.0,Supervisory
813,134920,80.0,Supervisory
814,351750,80.0,Supervisory
815,-48010,80.0,Supervisory
816,471770,80.0,Supervisory
817,45660,80.0,Supervisory
818,82430,80.0,Supervisory
819,64780,80.0,Supervisory
820,231600,80.0,Supervisory
821,191970,80.0,Supervisory
822,112290,80.0,Supervisory
823,262030,80.0,Supervisory
824,400530,80.0,Supervisory
825,141730,80.0,Supervisory
826,268730,80.0,Supervisory
827,172720,80.0,Supervisory
828,12030,80.0,Supervisory
829,187140,80.0,Supervisory
830,46960,80.0,Supervisory
831,523120,80.0,Supervisory
832,744480,80.0,Supervisory
833,332520,80.0,Supervisory
834,190760,80.0,Supervisory
835,3810,80.0,Supervisory
836,20590,80.0,Supervisory
837,57220,80.0,Supervisory
838,295320,80.0,Supervisory
839,340280,80.0,Supervisory
840,-14420,80.0,Supervisory
841,301100,80.0,Supervisory
842,93680,80.0,Supervisory
843,208240,80.0,Supervisory
844,189270,80.0,Supervisory
845,271870,80.0,Supervisory
846,-66010,80.0,Supervisory
847,114350,80.0,Supervisory
848,317470,80.0,Supervisory
849,113520,80.0,Supervisory
850,175640,90.0,Supervisory
851,-18180,90.0,Supervisory
852,99510,90.0,Supervisory
853,46600,90.0,Supervisory
854,211300,90.0,Supervisory
855,222070,90.0,Supervisory
856,11320,90.0,Supervisory
857,28980,90.0,Supervisory
858,472540,90.0,Supervisory
859,-16640,90.0,Supervisory
860,-144840,90.0,Supervisory
861,255490,90.0,Supervisory
862,42690,90.0,Supervisory
863,124260,90.0,Supervisory
864,172150,90.0,Supervisory
865,163130,90.0,Supervisory
866,-142850,90.0,Supervisory
867,33500,90.0,Supervisory
868,-25190,90.0,Supervisory
869,90550,90.0,Supervisory
870,35100,90.0,Supervisory
871,230570,90.0,Supervisory
872,-27650,90.0,Supervisory
873,34800,90.0,Supervisory
874,290880,90.0,Supervisory
875,243650,90.0,Supervisory
876,279840,90.0,Supervisory
877,285150,90.0,Supervisory
878,138140,90.0,Supervisory
879,393060,90.0,Supervisory
880,-78360,90.0,Supervisory
881,-11430,90.0,Supervisory
882,186660,90.0,Supervisory
883,172530,90.0,Supervisory
884,203140,90.0,Supervisory
885,60,90.0,Supervisory
886,203650,90.0,Supervisory
887,-158560,90.0,Supervisory
888,120400,90.0,Supervisory
889,321000,90.0,Supervisory
890,81060,90.0,Supervisory
891,-16490,90.0,Supervisory
892,5040,90.0,Supervisory
893,131030,90.0,Supervisory
894,174030,90.0,Supervisory
895,426570,90.0,Supervisory
896,70290,90.0,Supervisory
897,156330,90.0,Supervisory
898,30530,90.0,Supervisory
899,193360,90.0,Supervisory
